"Date";"Film";"Language (empty means OV)";"Rewatch"
"2024-12-20";"The Nightmare Before Christmas";"";"x"
"2024-12-20";"The Muppet Christmas Carol";"";""
"2024-12-23";"Conclave";"";""
"2025-01-11";"Encanto";"";""
"2025-01-16";"The Outrun";"";""
"2025-01-17";"The Seed of the Sacred Fig";"";""
"2025-01-18";"Lilo & Stitch";"";""
"2025-01-18";"Treasure Planet";"";""
"2025-01-18";"Robin Hood (1973)";"";"x"
"2025-01-24";"Nosferatu (2024)";"";""
"2025-01-26";"The Girl with the Needle";"";""
"2025-01-26";"Universal Language";"";""
"2025-01-28";"Kneecap";"";""
"2025-02-01";"The Brutalist";"";""
"2025-02-07";"Guillermo del Toro's Pinocchio";"";""
"2025-02-13";"FAQ About Time Travel";"";""
"2025-02-14";"Coco";"";"x"
"2025-02-14";"Peter Pan (1953)";"";"x"
"2025-02-18";"Hundreds of Beavers";"";""
"2025-02-23";"Bird";"";""
"2025-02-28";"Mulan (1998)";"";""
"2025-02-28";"Dead Poets Society";"";""
"2025-03-01";"Soundtrack to a Coup d'Etat";"";""
"2025-03-04";"Fargo";"";"x"
"2025-03-05";"Blade Runner";"";"x"
"2025-03-07";"Onward";"";""
"2025-03-08";"Mickey 17";"";""
"2025-03-10";"Turning Red";"";""
"2025-03-14";"The Princess and the Frog";"";""
"2025-03-15";"The Green Knight";"";""
"2025-03-16";"Flow";"";""
"2025-03-18";"Dracula's Ex-Girlfriend";"";""
"2025-03-26";"Ron's Gone Wrong";"";""
"2025-04-01";"A Complete Unknown";"";""
"2025-04-02";"Blade Runner 2049";"";"x"
"2025-04-05";"Moana";"";""
"2025-04-05";"Moana 2";"";""
"2025-04-16";"A Minecraft Movie";"";""
"2025-04-22";"Hercules (1997)";"";""
"2025-04-25";"Frozen";"";"x"
"2025-04-27";"Frozen II";"";"x"
"2025-04-27";"Eden (2024)";"";""
"2025-04-28";"Die Wannseekonferenz (2022)";"";""
"2025-05-04";"Sinners";"";""
"2025-05-14";"The Battle of Algiers";"";""
"2025-05-18";"Rogue One: A Star Wars Story";"";"x"
"2025-05-21";"Der Himmel über Berlin";"";""
"2025-05-30";"Blindgänger (2024)";"";""
"2025-05-31";"Star Wars: Episode IV – A New Hope";"";"x"
"2025-06-07";"Hai-Alarm am Müggelsee";"";"x"
"2025-06-08";"Maleficent";"";""
"2025-06-09";"The Wedding Banquet (2025)";"";""
"2025-06-13";"Star Wars: Episode V – The Empire Strikes Back";"";"x"
"2025-06-16";"Lightyear";"";""
"2025-06-19";"American Graffiti";"";""
"2025-06-22";"An Unfinished Film";"";""
"2025-06-22";"Toy Story";"";"x"
"2025-06-26";"The Emperor's New Groove";"";""
"2025-06-26";"The Hunchback of Notre Dame (1996)";"";"x"
"2025-07-27";"Monsters, Inc.";"";"x"
"2025-08-02";"Memoir of a Snail";"";""
"2025-08-02";"Superman (2025)";"";""
"2025-08-19";"Debaters";"";""
"2025-08-19";"Susana";"";""
"2025-08-19";"Azi";"";""
"2025-08-19";"We Were The Scenery";"";""
"2025-08-19";"Hurikán";"";""
"2025-08-19";"Such Good Friends";"";""
"2025-08-19";"Grandma Nai Who Played Favorites";"";""
"2025-08-24";"How to Train Your Dragon";"";"x"
"2025-08-24";"Legend of the Boneknapper Dragon";"";""
"2025-08-31";"How to Train Your Dragon 2";"";"x"
"2025-08-31";"Dawn of the Dragon Racers";"";""
"2025-09-20";"Everything Everywhere All at Once";"";"x"
"2025-09-26";"How to Train Your Dragon: The Hidden World";"";"x"
"2025-09-29";"Hook";"";""
"2025-10-03";"One Battle After Another";"";""
"2025-10-19";"D(e)AD";"";""
"2025-10-31";"Wendell & Wild";"";""
"2025-11-17";"Bugonia";"";""
"2025-11-19";"The Memory of Justice";"";""
"2025-11-23";"Frankenstein (2025)";"";""
"2025-11-25";"HyperNormalisation";"";""
"2025-11-27";"Wake Up Dead Man";"";""
"2025-11-28";"The Nightmare Before Christmas";"";"x"
"2025-12-02";"Le Chagrin et la Pitié";"";""
"2025-12-05";"Klaus";"";""
"2025-12-07";"Nimona";"";"x"
"2025-12-11";"The Sea Beast";"";""
"2025-12-22";"The Star Wars Holiday Special";"";""
"2025-12-23";"Sorry, Baby";"";""
"2025-12-23";"The Muppet Christmas Carol";"de";"x"
"2026-01-10";"The Last Viking";"";""
"2026-01-14";"Avatar: Fire and Ash";"";""
"2026-01-23";"Rental Family";"de";""
"2026-02-01";"It Was Just an Accident";"";""
"2026-03-21";"Good Luck, Have Fun, Don't Die";"";""
"2026-04-12";"Twin Peaks: Fire Walk with Me";"";"x"
